TRAÇAGE

baseX

Thu 24 Dec 2020
> Wed 06 Jan 2021

DATE;INFOS

Wed 06 Jan 2021 (00:07);édition;vente;carl;total: 12000;06 Jan 2021
Wed 06 Jan 2021 (00:05);édition;vente;carl;total: 3000;05 Jan 2021
Wed 06 Jan 2021 (00:03);édition;vente;carl;total: 12000;06 Jan 2021
Wed 06 Jan 2021 (00:01);ajout;achat A2;erevan;total: 3000;06 Jan 2021
Wed 06 Jan 2021 (00:00);ajout;article;perrier;perrier 50cl;eau
Tue 05 Jan 2021 (21:51);édition;article;coca;coca 25cl;soda
Tue 05 Jan 2021 (21:46);ajout;achat A1;erevan;total: 2000;05 Jan 2021
Tue 05 Jan 2021 (21:43);édition;article;coca;coca 25cl;soda
Sat 02 Jan 2021 (20:55);édition;article;coca;coca 25cl;boissonChaude
Sat 02 Jan 2021 (20:53);ajout;article;coca;coca 25cl;soda
