BILAN

data6

Mon 01 Mar 2021
> Wed 31 Mar 2021

RÉSULTATS GLOBAUX

RECETTES;2956000
ACHATS;0
VARIATION DE STOCK;-699352
MARGE BRUTE;2256638
CHARGES;0
RÉSULTAT NET;2256648
MARGE NETTE;76%

RÉSULTATS SELON CATÉGORIE

BIÈRE
Quantité vendue;305
Recette;582500
Marge brute;452214

BOISSONCHAUDE
Quantité vendue;85
Recette;96000
Marge brute;86998

CHAMPAGNE
Quantité vendue;0
Recette;0
Marge brute;0

CHICHA
Quantité vendue;0
Recette;0
Marge brute;0

CIGARE
Quantité vendue;1
Recette;5000
Marge brute;-2500

COCKTAIL
Quantité vendue;20
Recette;60000
Marge brute;54806

COGNAC
Quantité vendue;1
Recette;55000
Marge brute;35018

CONSO
Quantité vendue;20
Recette;35000
Marge brute;29324

CUISINE
Quantité vendue;152
Recette;444500
Marge brute;327874

DIVERSALCOOL
Quantité vendue;4
Recette;105000
Marge brute;81931

EAU
Quantité vendue;98
Recette;116000
Marge brute;99167

GADGETSEVENT
Quantité vendue;0
Recette;0
Marge brute;0

JUS
Quantité vendue;0
Recette;0
Marge brute;0

LAIT
Quantité vendue;0
Recette;0
Marge brute;0

SIROP
Quantité vendue;0
Recette;0
Marge brute;0

SODA
Quantité vendue;141
Recette;215000
Marge brute;188509

VERRECASSE
Quantité vendue;0
Recette;0
Marge brute;0

VINBLANC
Quantité vendue;5
Recette;95000
Marge brute;73510

VINMOUSSEUX
Quantité vendue;4
Recette;82000
Marge brute;64278

VINROSÉ
Quantité vendue;0
Recette;0
Marge brute;0

VINROUGE
Quantité vendue;37
Recette;462000
Marge brute;333334

WHISKY
Quantité vendue;14
Recette;495000
Marge brute;348237

ÉNERGÉTIQUE
Quantité vendue;58
Recette;108000
Marge brute;83938

CHARGES SELON TYPE
carburant;0

VALEUR STOCK
Initial;7351788
Final;6652436

DÉTAILS STOCKS
CODE;INITIAL;PA;FINAL;PA

BIÈRE
beni;32;267;23;267
bf;309;332;255;332
bièreNA;0;0;0;0
cast;216;315;178;315
despe;157;792;122;792
doppel;48;400;42;400
eku;227;360;175;360
grimbergen;0;823;0;823
gui;327;525;261;525
hein25;35;563;30;563
lef25;12;1115;12;1115
panach25;0;0;0;0
pils;198;292;158;292
skol;0;0;0;0

BOISSONCHAUDE
cafeCap;44;336;31;336
cafeSac;92;47;73;47
cappuccino;7;315;4;315
lipton;218;48;172;48
théCitron;0;0;0;0

CHAMPAGNE
affinity;0;0;0;0
champNA;0;0;0;0
champNARo;0;0;0;0
fereix;0;0;0;0
lagaBrut1.5L;0;0;0;0
lagaBrutRes;0;0;0;0
lagaNatB;1;20000;1;20000
lagaPrestD1.5L;0;0;0;0
lagaRo;1;20000;1;20000
laurentPer;0;0;0;0
lucBelFantome;2;24300;2;24300
lucBelRo;1;22757;1;22757
moetB1.5L;0;0;0;0
moetBrut;0;0;0;0
moetIceImp;2;40650;2;40650
moetNect;1;36000;1;36000
moetNectRo;3;41850;3;41850
moetNectar;1;39262;1;39262
moetRo;0;0;0;0
princessFr;2;23500;2;23500
remyTresBrut;3;20000;3;20000
ruinBlBl;1;63625;1;63625
ruinBrut;0;0;0;0
ruinRo;3;46250;3;46250
toso;0;0;0;0
trouillard;1;20000;1;20000
veuveClicot;0;0;0;0

CHICHA
chicha;0;0;0;0

CIGARE
cHabano;2;7500;1;7500
cHabanoCM;2;3299;2;3299
cHoyo;0;0;0;0

COCKTAIL
laitCoco;1;1200;1;1200

COGNAC
calvaVSOP;0;0;0;0
camusVS;3;21000;3;21000
camusVSOP;3;22950;3;22950
comteJoseph;0;0;0;0
comteJosephHA;0;0;0;0
comteJosephVS;0;0;0;0
hennessyVS;6,29;19982;5,29;19982
hennessyVS1L;0;0;0;0
hennessyVSOP;5;29704;5;29704
hennessyVSOP1L;0;0;0;0
stRemyVSOP;1,88;5298;1,88;5298

CONSO
jusCaraf;0;0;0;0
verreMousCC;0;0;0;0

CUISINE
agbama;0;0;0;0
agneau;15;1169;14;1169
agneauOs;43,5;1119;36,5;1119
akassan;3;100;3;100
atieke;0;0;0;0
attieke;2;250;2;250
blancPoulet;13;586;5,5;586
boeuf;0;0;0;0
boyau;82;664;76;664
calamar;0;0;0;0
crabe;73;249;59;249
crevette;105;1383;97;1383
cuisPoulet;0;0;0;0
darnePoisson;43;1128;38,5;1128
eminceP;0;0;0;0
emincePoulet;0;0;0;0
farineBle;0;0;0;0
farinePatNoire;0;0;0;0
farinePateBlanc;19;11;19;11
farineRouge;0;0;0;0
filetBoeuf;41,5;973;35,5;973
filetPoisson;0;0;0;0
frite;368;243;342;243
fromage;0;565;0;565
gambas;10;2709;10;2709
gateauRiz;3;10;3;10
gesier;1;500;1;500
haricotV;0;0;0;0
langueB;3;1800;3;1800
langueBoeuf;41;1356;39;1356
mais300G;23;358;23;358
maisDoux;3;400;3;400
merguez;120;585;91,5;585
oeuf;1;83;1;83
pain;0;0;0;0
painChaw;0;149;0;149
painHamb;0;253;0;253
painSandw;0;306;0;306
patRouge;0;0;0;0
pateRouge;0;0;0;0
petitPois;3;575;3;575
pintade;0;0;0;0
piron;0;0;0;0
poisson;94;1169;77;1169
poissonFume;33;222;19;222
pommeKg;0;0;0;0
poulet;63;912;60;912
pouletBi;145,5;981;134,5;981
pouletCuisse;0;0;0;0
riz;205;193;182;193
rizCant;0;0;0;0
saladeFruit;0;0;0;0
sauceBlokoto;0;0;0;0
spagh;18,25;122;15,25;122
thon;9,5;434;9,5;434
tilapiaG;0;1279;0;1279
tilapiaM;3;857;2;857
viandeBro;0;0;0;0
viandeChaw;3;500;3;500
viandeH;98;594;98;594
viandeNem;40;385;37;385
wangache;25;339;11;339

DIVERSALCOOL
absenta;8,65;7021;8,65;7021
agavita;0;0;0;0
baileys;0;0;0;0
bols;3;3330;3;3330
boris;0;0;0;0
bottega;0;0;0;0
brizL;0;0;0;0
campari;0;0;0;0
cointreau;4;12038;4;12038
cointreau350;3;16668;3;16668
diplomatico;0;0;0;0
disaronno;1;20000;1;20000
droitBouchon;0;0;0;0
get27;3;3333;3;3333
gordons;4,8;11095;4,8;11095
grants;0;0;0;0
grdMarnier;0,02;14200;0,02;14200
jelzin;0;0;0;0
kamel;4;2549;3,18;2549
litchiL;3;2300;3;2300
malibu;0,37;4759;0,37;4759
mangPaL;1;2300;1;2300
martiniB;0,08;6425;0,08;6425
martiniR;5,16;5336;5,16;5336
martiniRo;6;2558;6;2558
molinari;0;0;0;0
orangeSec;3,02;4445;3,02;4445
pachuca;0;0;0;0
podere;0;0;0;0
ricard;1,7;7978;1,7;7978
sanjoseS;1;8500;1;8500
savoy;3;3042;3;3042
smirnof;0;0;0;0
stJamesB;5,14;7561;4,14;7561
stJamesR;2,05;7010;2,05;7010
stPaul;0;0;0;0
stoli;5,48;5997;4,48;5997
sucreCan;15,65;1796;15,29;1796
suze;1,4;6061;0,4;6061
tBlanc;3;4408;3;4408
tChoco;0;0;0;0
tElCobrizo;0;0;0;0
tOnOffHecho;0;0;0;0
tripleSec;2,02;3060;2,02;3060
vodkaFili;2;3450;1;3450
vodkaKavenina;0;0;0;0
vodkaPoliakov;6;2667;6;2667
yeniRaki;0;0;0;0

EAU
eau;298;144;235;144
eau1.5;169;216;137;216
eauGaz;19;283;16;283
perrier;7;574;7;574

GADGETSEVENT
gadget;0;0;0;0
gadgetStval;0;0;0;0

JUS
jAnanas;0;0;0;0
jBanane;0;0;0;0
jGoyave;0;0;0;0
jMangue;0;0;0;0
jOrange;1;835;1;835
jPamplem;2;1000;2;1000
jPomme;0;0;0;0
jRaisin;0;0;0;0
jTamarin25;3;278;3;278
jus1L;116,2;859;110,4;859

LAIT
lait;0;0;0;0

SIROP
sBanane;0;0;0;0
sCanne;0;0;0;0
sCassis;0;0;0;0
sFraise;0;0;0;0
sGinger1L;56,15;1469;55,1;1469
sGrenadine;0;0;0;0
sMenthe;0;0;0;0
sPamplem;0;0;0;0
sPassion;0;0;0;0
sPeche;0;0;0;0
sTamarin;0;0;0;0
sTomate;0;0;0;0
