TRAÇAGE

date10T

Thu 02 Jun 2022
> Sat 02 Jul 2022

DATE;INFOS

Thu 16 Jun 2022 (20:51);import;vente;CAISSIER;total: 58000;16 Jun 2022
Thu 16 Jun 2022 (20:39);import;vente;CAISSIER;total: 6000;16 Jun 2022
Mon 13 Jun 2022 (20:16);import;vente;Jacques;total: 5000;09 jun 2022
Mon 13 Jun 2022 (20:14);import;vente;Jacques;total: 5000;09 jun 2022
Mon 13 Jun 2022 (20:14);import;vente;Jacques;total: 5000;09 jun 2022
Mon 13 Jun 2022 (20:12);import;vente;Jacques;total: 5000;09 jun 2022
Mon 13 Jun 2022 (20:12);suppression;vente;Jacques;total: 5000;09 Jun 2022
Mon 13 Jun 2022 (20:03);import;vente;Jacques;total: 5000;09 jun 2022
Mon 13 Jun 2022 (20:03);suppression;vente;Jacques;total: 5000;09 Jun 2022
Mon 13 Jun 2022 (19:59);import;vente;Jacques;total: 5000;09 jun 2022
Mon 13 Jun 2022 (17:50);édition;vente;Jacques;total: 1000;14 Jun 2022
Mon 13 Jun 2022 (17:50);édition;vente;Jacques;total: 1500;13 Jun 2022
Mon 13 Jun 2022 (17:48);édition;article;broMixte;mini brochette mixte;cuisine
Mon 13 Jun 2022 (17:44);édition;vente;Jacques;total: 1700;12 Jun 2022
Mon 13 Jun 2022 (17:38);édition;vente;Jacques;total: 1700;12 Jun 2022
Mon 13 Jun 2022 (17:36);édition;vente;Jacques;total: 1500;13 Jun 2022
Mon 13 Jun 2022 (17:34);édition;vente;Jacques;total: 1000;13 Jun 2022
Mon 13 Jun 2022 (17:33);ajout;vente;Jacques;total: 1000;14 jun 2022
Mon 13 Jun 2022 (17:25);édition;article;broMixte;mini brochette mixte;cuisine
Mon 13 Jun 2022 (17:25);édition;article;broMixte;mini brochette mixte;cuisine
Mon 13 Jun 2022 (10:26);correction;chivas18;théorique: 50;physique: 49;
Mon 13 Jun 2022 (10:12);ajout;vente;Jacques;total: 1000;12 Jun 2022
Mon 13 Jun 2022 (10:03);ajout;vente;Jacques;total: 1000;13 Jun 2022
Mon 13 Jun 2022 (09:40);correction;filetBoeuf;théorique: 10;physique: 5;
Mon 13 Jun 2022 (09:37);ajout;achat 002;lolo;total: 1000;10 jun 2022
Mon 13 Jun 2022 (09:37);ajout;achat 001;lolo;total: 4000;10 jun 2022
